,City,Total score,Quality of life score,Family score,Cost,Internet,Fun,Safety,Lack of crime,Lack of racism,Education level,Income level,English speaking,Walkability,Traffic safety,Happiness,Nightlife,Free WiFi in city,A/C or heating,Friendly to foreigners,Freedom of speech,Female friendly,LGBTQ+ friendly,Startup Score,Hospitals,Country,Continent,Ciudad_Country,Latitude,Longitude
315,Mobile,3.25,Okay,Okay,Okay,Super fast,Okay,Good,Good,Okay,High,Very high,Great,Bad,Okay,Good,Okay,Good,Unknown,Unknown,Good,Bad,Great,Okay,Great,United States,North America,"Mobile, United States",30.6943566,-88.0430541
316,Sumperk,3.34,Good,Okay,Affordable,Super fast,Good,Great,Great,Okay,High,Low,Okay,Bad,Okay,Good,Good,Good,Okay,Good,Good,Great,Great,Okay,Bad,Czechia,Europe,"Sumperk, Czechia",49.9655521,16.9705651
317,Fortaleza,3.29,Okay,Okay,Cheap,Fast,Good,Okay,Very bad,Good,Mediocre,Very low,Okay,Great,Bad,Good,Bad,Okay,Okay,Good,Okay,Okay,Great,Bad,Good,Brazil,Latin America,"Fortaleza, Brazil",-3.7304512,-38.5217989
318,Malaga,3.24,Good,Okay,Okay,Fast,Okay,Good,Great,Bad,High,Mediocre,Bad,Great,Okay,Good,Okay,Bad,Great,Great,Good,Good,Great,Okay,Okay,Spain,Europe,"Malaga, Spain",36.7213028,-4.4216366
319,Casper,3.28,Okay,Okay,Okay,Super fast,Okay,Good,Good,Great,High,Very high,Great,Bad,Okay,Good,Okay,Good,Unknown,Unknown,Good,Okay,Great,Okay,Good,United States,North America,"Casper, United States",42.8501191,-106.325138
320,Ranchi,2.98,Okay,Bad,Affordable,Fast,Bad,Good,Good,Okay,Low,Very low,Okay,Okay,Bad,Bad,Bad,Bad,Bad,Okay,Okay,Bad,Bad,Bad,Okay,India,Asia,"Ranchi, India",23.3700501,85.3250387
321,Gaziantep,3.25,Okay,Bad,Cheap,Good,Okay,Good,Good,Bad,Mediocre,Very low,Bad,Bad,Okay,Okay,Okay,Okay,Okay,Good,Bad,Okay,Bad,Bad,Bad,Turkey,Europe,"Gaziantep, Turkey",37.0628317,37.3792617
322,Adana,3.26,Okay,Okay,Cheap,Good,Good,Great,Good,Okay,Mediocre,Very low,Bad,Great,Okay,Okay,Okay,Bad,Good,Good,Bad,Good,Bad,Bad,Great,Turkey,Europe,"Adana, Turkey",36.9863599,35.3252861
323,Houston,3.29,Okay,Okay,Pricey,Super fast,Bad,Good,Good,Good,High,Very high,Great,Great,Okay,Good,Good,Okay,Great,Okay,Good,Okay,Great,Okay,Great,United States,North America,"Houston, United States",29.7589382,-95.3676974
324,Georgetown,3.29,Okay,Bad,Affordable,Slow,Okay,Bad,Bad,Bad,Mediocre,Very low,Good,Great,Bad,Unknown,Okay,Bad,Okay,Bad,Good,Bad,Bad,Okay,Unknown,Guyana,Latin America,"Georgetown, Guyana",6.8137426,-58.1624465
325,Surabaya,2.99,Okay,Bad,Cheap,Good,Bad,Great,Great,Bad,Mediocre,Very low,Bad,Great,Bad,Okay,Bad,Okay,Okay,Okay,Okay,Okay,Bad,Bad,Bad,Indonesia,Asia,"Surabaya, Indonesia",-7.2459717,112.7378266
326,Nakhon Ratchasima,3.27,Okay,Bad,Affordable,Super fast,Okay,Great,Good,Okay,Mediocre,Very low,Bad,Bad,Bad,Good,Okay,Bad,Good,Great,Okay,Okay,Okay,Bad,Unknown,Thailand,Asia,"Nakhon Ratchasima, Thailand",15.2241917,101.9313754
327,Jena,3.31,Good,Okay,Affordable,Fast,Okay,Good,Great,Good,High,High,Good,Great,Okay,Good,Bad,Bad,Bad,Good,Great,Great,Great,Okay,Great,Germany,Europe,"Jena, Germany",50.9281717,11.5879359
328,Kitchener,3.16,Good,Good,Pricey,Fast,Great,Good,Good,Great,High,High,Great,Great,Okay,Great,Bad,Great,Good,Great,Great,Great,Great,Okay,Good,Canada,North America,"Kitchener, Canada",43.451291,-80.4927815
329,Kaohsiung,3.39,Good,Okay,Affordable,Fast,Bad,Conflict / political instability,Great,Okay,High,Low,Bad,Great,Okay,Good,Bad,Great,Great,Great,Good,Great,Great,Bad,Great,Taiwan,Asia,"Kaohsiung, Taiwan",22.6203348,120.3120375
330,Shenzhen,3.28,Okay,Bad,Affordable,Unusably slow,Bad,Good,Great,Bad,Mediocre,Very low,Bad,Great,Bad,Okay,Okay,Good,Good,Okay,Unknown,Okay,Bad,Bad,Great,China,Asia,"Shenzhen, China",22.5445741,114.0545429
331,Recife,3.28,Okay,Okay,Affordable,Good,Great,Bad,Very bad,Good,Mediocre,Very low,Bad,Great,Bad,Good,Bad,Bad,Unknown,Good,Okay,Okay,Great,Bad,Bad,Brazil,Latin America,"Recife, Brazil",-8.0584933,-34.8848193
332,Greensboro,3.27,Good,Good,Pricey,Super fast,Okay,Good,Good,Good,High,Very high,Great,Great,Okay,Good,Okay,Good,Unknown,Unknown,Good,Good,Great,Okay,Great,United States,North America,"Greensboro, United States",36.0726355,-79.7919754
333,Pharr,3.28,Okay,Okay,Okay,Super fast,Okay,Good,Good,Good,High,Very high,Great,Great,Okay,Good,Okay,Good,Unknown,Unknown,Good,Good,Great,Okay,Unknown,United States,North America,"Pharr, United States",26.1947962,-98.1836216
334,Bakersfield,3.26,Okay,Okay,Okay,Super fast,Okay,Okay,Good,Good,High,Very high,Great,Great,Okay,Good,Okay,Good,Unknown,Unknown,Good,Okay,Great,Okay,Okay,United States,North America,"Bakersfield, United States",35.3738712,-119.0194639
335,Montgomery,3.32,Okay,Okay,Okay,Fast,Okay,Good,Good,Okay,High,Very high,Great,Okay,Okay,Good,Okay,Good,Unknown,Unknown,Good,Okay,Great,Okay,Good,United States,North America,"Montgomery, United States",32.3669656,-86.3006485
336,Zurich,3.27,Good,Good,Way too expensive,Fast,Good,Good,Great,Okay,High,Very high,Okay,Great,Okay,Great,Okay,Great,Okay,Good,Great,Great,Good,Okay,Great,Switzerland,Europe,"Zurich, Switzerland",47.3744489,8.5410422
337,Macau,2.98,Okay,Okay,Affordable,Slow,Great,Good,Great,Unknown,Mediocre,Very high,Okay,Great,Bad,Okay,Okay,Okay,Good,Okay,Unknown,Okay,Bad,Okay,Unknown,China,Asia,"Macau, China",22.1757605,113.5514142
338,Karlsruhe,3.34,Good,Okay,Affordable,Fast,Okay,Good,Great,Good,High,High,Good,Great,Okay,Good,Bad,Okay,Bad,Okay,Great,Great,Great,Okay,Great,Germany,Europe,"Karlsruhe, Germany",49.0068705,8.4034195
339,Tulsa,3.27,Good,Okay,Pricey,Fast,Good,Okay,Good,Okay,High,Very high,Great,Bad,Okay,Good,Okay,Okay,Good,Okay,Good,Bad,Great,Okay,Great,United States,North America,"Tulsa, United States",36.1556805,-95.9929113
340,Lawton,3.22,Okay,Okay,Okay,Super fast,Okay,Good,Good,Good,High,Very high,Great,Okay,Okay,Good,Okay,Good,Unknown,Unknown,Good,Bad,Great,Okay,Okay,United States,North America,"Lawton, United States",34.6086854,-98.3903305
341,Cartagena,3.37,Okay,Bad,Affordable,Slow,Great,Okay,Very bad,Bad,Mediocre,Very low,Bad,Great,Bad,Good,Good,Okay,Bad,Great,Okay,Bad,Great,Bad,Bad,Colombia,Latin America,"Cartagena, Colombia",10.4195841,-75.5271224
342,Raleigh,3.31,Good,Good,Pricey,Super fast,Okay,Good,Good,Good,High,Very high,Great,Great,Okay,Good,Good,Great,Good,Good,Good,Great,Great,Okay,Great,United States,North America,"Raleigh, United States",35.7803977,-78.6390989
343,Hanoi,3.23,Okay,Okay,Cheap,Slow,Okay,Good,Good,Bad,Low,Very low,Bad,Great,Bad,Bad,Bad,Bad,Okay,Okay,Bad,Bad,Bad,Bad,Good,Vietnam,Asia,"Hanoi, Vietnam",21.0294498,105.8544441
344,Visalia,3.28,Good,Okay,Okay,Super fast,Okay,Good,Good,Good,High,Very high,Great,Great,Okay,Good,Okay,Good,Unknown,Unknown,Good,Okay,Great,Okay,Great,United States,North America,"Visalia, United States",36.3302284,-119.2920585
345,Izmir,3.25,Okay,Okay,Cheap,Good,Good,Good,Good,Bad,Mediocre,Very low,Bad,Great,Okay,Okay,Okay,Great,Okay,Okay,Bad,Good,Good,Bad,Great,Turkey,Europe,"Izmir, Turkey",38.4224548,27.1310699
346,Toledo,3.24,Good,Good,Okay,Fast,Okay,Good,Good,Good,High,Very high,Great,Bad,Okay,Good,Okay,Good,Unknown,Unknown,Good,Great,Great,Okay,Great,United States,North America,"Toledo, United States",41.6529143,-83.5378173
347,Guelph,3.25,Good,Okay,Okay,Fast,Okay,Good,Good,Okay,High,High,Great,Bad,Okay,Great,Okay,Good,Okay,Okay,Great,Okay,Great,Okay,Okay,Canada,North America,"Guelph, Canada",43.5460516,-80.2493276
348,Edinburg,3.27,Okay,Okay,Okay,Fast,Okay,Good,Good,Good,High,Very high,Great,Great,Okay,Good,Okay,Good,Unknown,Unknown,Good,Okay,Great,Okay,Okay,United States,North America,"Edinburg, United States",26.3013982,-98.1624501
349,Boracay,3.27,Okay,Okay,Affordable,Good,Bad,Good,Okay,Okay,Mediocre,Very low,Okay,Okay,Okay,Okay,Okay,Bad,Okay,Good,Okay,Okay,Bad,Bad,Unknown,Philippines,Asia,"Boracay, Philippines",11.9477338,121.9392632
350,Ankara,3.29,Okay,Bad,Cheap,Good,Bad,Good,Good,Bad,Mediocre,Very low,Bad,Great,Okay,Okay,Bad,Bad,Bad,Okay,Bad,Bad,Bad,Bad,Great,Turkey,Europe,"Ankara, Turkey",39.9207886,32.8540482
351,Helsinki,3.31,Good,Good,Too expensive,Fast,Good,Good,Good,Good,High,High,Good,Great,Okay,Great,Good,Great,Bad,Great,Great,Great,Great,Okay,Great,Finland,Europe,"Helsinki, Finland",60.1674881,24.9427473
352,Lyon,3.42,Good,Good,Pricey,Fast,Good,Good,Good,Okay,High,Mediocre,Okay,Great,Okay,Good,Okay,Good,Okay,Good,Good,Good,Great,Okay,Good,France,Europe,"Lyon, France",45.7578137,4.8320114
353,Salem,3.27,Good,Okay,Okay,Super fast,Okay,Good,Good,Great,High,Very high,Great,Great,Okay,Good,Okay,Good,Unknown,Unknown,Good,Good,Great,Okay,Good,United States,North America,"Salem, United States",44.9391565,-123.033121
354,Moncton,3.3,Good,Good,Pricey,Fast,Okay,Good,Good,Great,High,High,Great,Great,Okay,Great,Okay,Good,Great,Great,Great,Great,Great,Okay,Unknown,Canada,North America,"Moncton, Canada",46.097995,-64.80011
355,Javea,3.28,Good,Okay,Pricey,Fast,Okay,Good,Great,Okay,High,Mediocre,Okay,Bad,Okay,Good,Okay,Great,Okay,Okay,Good,Okay,Great,Okay,Unknown,Spain,Europe,"Javea, Spain",38.7893909,0.1633256
356,Port Arthur,3.31,Okay,Okay,Okay,Super fast,Okay,Good,Good,Good,High,Very high,Great,Bad,Okay,Good,Okay,Good,Unknown,Unknown,Good,Okay,Great,Okay,Okay,United States,North America,"Port Arthur, United States",29.8988618,-93.9288723
357,Changzhou,3.3,Okay,Okay,Affordable,Unusably slow,Okay,Great,Great,Bad,Mediocre,Very low,Okay,Bad,Bad,Okay,Okay,Bad,Okay,Okay,Unknown,Okay,Okay,Bad,Unknown,China,Asia,"Changzhou, China",31.8122623,119.9691539
358,San Pedro De Atacama,3.25,Okay,Okay,Affordable,Fast,Bad,Good,Good,Good,High,Very low,Bad,Great,Okay,Good,Okay,Bad,Unknown,Unknown,Good,Bad,Great,Bad,Unknown,Chile,Latin America,"San Pedro De Atacama, Chile",-22.910832,-68.2001376
359,Beacon,3.28,Good,Good,Pricey,Fast,Okay,Good,Good,Good,High,Very high,Great,Great,Okay,Good,Bad,Okay,Great,Good,Good,Good,Great,Okay,Unknown,United States,North America,"Beacon, United States",41.504879,-73.9696822
360,Pokhara,3.26,Okay,Okay,Cheap,Good,Great,Good,Good,Unknown,Low,Very low,Okay,Great,Bad,Bad,Bad,Good,Unknown,Unknown,Okay,Okay,Okay,Okay,Unknown,Nepal,Asia,"Pokhara, Nepal",28.209538,83.991402
361,Valdosta,3.33,Good,Okay,Okay,Super fast,Okay,Good,Good,Good,High,Very high,Great,Okay,Okay,Good,Okay,Good,Unknown,Unknown,Good,Good,Great,Okay,Good,United States,North America,"Valdosta, United States",30.8327022,-83.2784851
362,Rocky Mount,3.32,Good,Good,Okay,Super fast,Okay,Good,Good,Good,High,Very high,Great,Okay,Okay,Good,Okay,Good,Unknown,Unknown,Good,Good,Great,Okay,Good,United States,North America,"Rocky Mount, United States",35.9423833,-77.7956949
363,Huddersfield,3.28,Good,Okay,Pricey,Fast,Okay,Good,Great,Okay,High,High,Great,Bad,Okay,Good,Okay,Okay,Bad,Okay,Good,Okay,Great,Okay,Great,United Kingdom,Europe,"Huddersfield, United Kingdom",53.6466645,-1.7822482
364,Columbus Ga,3.31,Good,Okay,Okay,Super fast,Okay,Good,Good,Good,High,Very high,Great,Great,Okay,Good,Okay,Good,Unknown,Unknown,Good,Okay,Great,Okay,Great,United States,North America,"Columbus Ga, United States",32.4610708,-84.9880449
365,Nashville,3.29,Good,Good,Too expensive,Super fast,Good,Good,Good,Good,High,Very high,Great,Great,Okay,Good,Good,Okay,Great,Good,Good,Okay,Great,Okay,Great,United States,North America,"Nashville, United States",36.1622767,-86.7742984
366,Rzeszow,3.24,Okay,Okay,Affordable,Fast,Bad,Good,Great,Okay,High,Very low,Okay,Bad,Okay,Okay,Bad,Bad,Bad,Okay,Good,Okay,Bad,Bad,Okay,Poland,Europe,"Rzeszow, Poland",50.013064,22.016143457294312
367,Syracuse,3.3,Good,Okay,Pricey,Fast,Okay,Good,Good,Okay,High,Very high,Great,Bad,Okay,Good,Okay,Good,Good,Okay,Good,Okay,Great,Okay,Great,United States,North America,"Syracuse, United States",43.0481221,-76.1474244
368,Sacramento,3.28,Good,Good,Pricey,Super fast,Okay,Good,Good,Good,High,Very high,Great,Great,Okay,Good,Okay,Great,Okay,Good,Good,Great,Great,Okay,Great,United States,North America,"Sacramento, United States",38.5810606,-121.493895
369,Youngstown,3.28,Good,Good,Okay,Fast,Okay,Good,Good,Good,High,Very high,Great,Great,Okay,Good,Okay,Good,Unknown,Unknown,Good,Good,Great,Okay,Good,United States,North America,"Youngstown, United States",41.1035786,-80.6520161
370,Augusta,3.22,Good,Good,Pricey,Super fast,Okay,Good,Good,Good,High,Very high,Great,Okay,Okay,Good,Okay,Good,Unknown,Unknown,Good,Okay,Great,Okay,Great,United States,North America,"Augusta, United States",33.4709714,-81.9748429
371,Tyler,3.31,Okay,Okay,Okay,Super fast,Okay,Good,Good,Good,High,Very high,Great,Great,Okay,Good,Okay,Good,Unknown,Unknown,Good,Okay,Great,Okay,Great,United States,North America,"Tyler, United States",32.3512601,-95.3010624
372,Tijuana,2.9,Okay,Okay,Affordable,Good,Great,Okay,Bad,Okay,Mediocre,Very low,Bad,Bad,Okay,Good,Good,Bad,Unknown,Okay,Bad,Okay,Great,Bad,Good,Mexico,Latin America,"Tijuana, Mexico",32.5010188,-116.964662
373,Bristol,3.25,Good,Good,Too expensive,Fast,Great,Great,Great,Great,High,High,Great,Great,Okay,Good,Good,Okay,Bad,Great,Good,Okay,Great,Good,Great,United Kingdom,Europe,"Bristol, United Kingdom",51.47091115,-2.5790334025708415
374,Detroit,3.18,Good,Okay,Pricey,Fast,Okay,Good,Good,Good,High,Very high,Great,Great,Okay,Good,Okay,Okay,Great,Good,Good,Okay,Great,Okay,Great,United States,North America,"Detroit, United States",42.3315509,-83.0466403
375,Da Lat,3.26,Okay,Bad,Cheap,Good,Okay,Good,Good,Bad,Low,Very low,Bad,Great,Bad,Bad,Bad,Great,Bad,Great,Bad,Bad,Bad,Bad,Good,Vietnam,Asia,"Da Lat, Vietnam",11.9402416,108.4375758
376,Bremen,3.22,Good,Good,Okay,Fast,Okay,Good,Great,Good,High,High,Okay,Great,Okay,Good,Bad,Okay,Good,Good,Great,Great,Great,Okay,Good,Germany,Europe,"Bremen, Germany",53.0758196,8.8071646
377,Semarang,2.94,Okay,Bad,Cheap,Good,Bad,Good,Great,Good,Mediocre,Very low,Bad,Bad,Bad,Okay,Bad,Bad,Bad,Okay,Okay,Bad,Bad,Bad,Bad,Indonesia,Asia,"Semarang, Indonesia",-6.9903988,110.4229104
378,Makati,3.25,Okay,Okay,Affordable,Good,Great,Good,Okay,Bad,Mediocre,Very low,Good,Great,Okay,Okay,Good,Okay,Great,Great,Okay,Bad,Good,Okay,Good,Philippines,Asia,"Makati, Philippines",14.5567949,121.0211226
379,Brasilia,3.24,Okay,Okay,Affordable,Good,Okay,Okay,Very bad,Good,Mediocre,Very low,Bad,Great,Bad,Good,Bad,Okay,Okay,Great,Okay,Bad,Great,Bad,Good,Brazil,Latin America,"Brasilia, Brazil",-10.3333333,-53.2
380,Varanasi,3.12,Okay,Bad,Cheap,Fast,Okay,Good,Good,Bad,Low,Very low,Okay,Great,Bad,Bad,Okay,Okay,Good,Good,Okay,Bad,Bad,Okay,Unknown,India,Asia,"Varanasi, India",25.3356491,83.0076292
381,Thiruvananthapuram,3.35,Okay,Bad,Cheap,Fast,Okay,Good,Good,Okay,Low,Very low,Okay,Okay,Bad,Bad,Bad,Bad,Bad,Okay,Okay,Bad,Bad,Bad,Okay,India,Asia,"Thiruvananthapuram, India",8.5241122,76.9360573
382,Bismarck,3.23,Okay,Okay,Pricey,Fast,Okay,Good,Good,Great,High,Very high,Great,Great,Okay,Good,Okay,Good,Unknown,Unknown,Good,Okay,Great,Okay,Bad,United States,North America,"Bismarck, United States",46.808327,-100.783739
383,Montego Bay,3.27,Okay,Okay,Okay,Fast,Good,Bad,Very bad,Unknown,Mediocre,Very low,Great,Bad,Okay,Okay,Okay,Okay,Unknown,Unknown,Great,Okay,Bad,Okay,Unknown,Jamaica,Latin America,"Montego Bay, Jamaica",18.4724603,-77.9217357
384,Victoria Tx,3.25,Okay,Okay,Pricey,Fast,Okay,Good,Good,Good,High,Very high,Great,Okay,Okay,Good,Okay,Good,Unknown,Unknown,Good,Bad,Great,Okay,Good,United States,North America,"Victoria Tx, United States",28.8026443,-96.9766308
385,Rochester,3.3,Good,Good,Pricey,Fast,Okay,Good,Good,Good,High,Very high,Great,Great,Okay,Good,Okay,Bad,Bad,Good,Good,Okay,Great,Okay,Great,United States,North America,"Rochester, United States",43.157285,-77.615214
386,Alanya,3.22,Okay,Bad,Cheap,Good,Okay,Good,Good,Bad,Mediocre,Very low,Bad,Great,Okay,Okay,Okay,Good,Okay,Good,Bad,Bad,Bad,Bad,Okay,Turkey,Europe,"Alanya, Turkey",36.5436517,32.0019211
387,Oakland,3.25,Good,Okay,Pricey,Super fast,Okay,Good,Good,Good,High,Very high,Great,Great,Okay,Good,Good,Good,Okay,Okay,Good,Okay,Great,Okay,Good,United States,North America,"Oakland, United States",37.8044557,-122.2713563
388,Terre Haute,3.24,Good,Okay,Pricey,Super fast,Okay,Good,Good,Good,High,Very high,Great,Great,Okay,Good,Okay,Good,Unknown,Unknown,Good,Good,Great,Okay,Good,United States,North America,"Terre Haute, United States",39.4667025,-87.4139119
389,Great Falls,3.23,Okay,Okay,Pricey,Fast,Okay,Good,Good,Great,High,Very high,Great,Great,Okay,Good,Okay,Good,Unknown,Unknown,Good,Good,Great,Okay,Good,United States,North America,"Great Falls, United States",47.5048851,-111.29189
390,Fort Wayne,3.36,Good,Okay,Okay,Fast,Okay,Good,Good,Good,High,Very high,Great,Great,Okay,Good,Okay,Good,Unknown,Unknown,Good,Okay,Great,Okay,Great,United States,North America,"Fort Wayne, United States",41.0799898,-85.1386015
391,Rishikesh,2.67,Okay,Bad,Affordable,Fast,Bad,Good,Good,Bad,Low,Very low,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Okay,Okay,Bad,Bad,Bad,Unknown,India,Asia,"Rishikesh, India",30.1086537,78.2916193
392,Wichita,3.16,Okay,Okay,Pricey,Super fast,Okay,Good,Good,Okay,High,Very high,Great,Bad,Okay,Good,Okay,Good,Good,Okay,Good,Bad,Great,Okay,Great,United States,North America,"Wichita, United States",37.6922361,-97.3375448
393,Langkawi,3.31,Okay,Bad,Affordable,Fast,Okay,Good,Good,Bad,Mediocre,Very low,Okay,Great,Bad,Good,Bad,Okay,Okay,Okay,Bad,Bad,Bad,Bad,Unknown,Malaysia,Asia,"Langkawi, Malaysia",6.3700386,99.7928634
394,Chengdu,3.43,Good,Okay,Affordable,Unusably slow,Okay,Great,Great,Bad,Mediocre,Very low,Bad,Great,Bad,Okay,Okay,Okay,Good,Okay,Unknown,Good,Okay,Bad,Okay,China,Asia,"Chengdu, China",30.6598628,104.0633717
395,Richland,3.23,Good,Good,Pricey,Super fast,Okay,Great,Good,Great,High,Very high,Great,Okay,Okay,Good,Okay,Good,Unknown,Unknown,Good,Good,Great,Okay,Good,United States,North America,"Richland, United States",38.7060457,-88.0949352
396,Dubai,3.06,Okay,Okay,Pricey,Good,Okay,Good,Great,Okay,Mediocre,Mediocre,Bad,Great,Okay,Good,Bad,Okay,Great,Good,Okay,Okay,Bad,Okay,Good,United Arab Emirates,Middle East,"Dubai, United Arab Emirates",25.2653471,55.2924914
397,Kosice,3.4,Good,Okay,Affordable,Fast,Good,Good,Great,Unknown,High,Low,Okay,Great,Okay,Good,Bad,Okay,Okay,Okay,Great,Good,Bad,Okay,Good,Slovakia,Europe,"Kosice, Slovakia",48.7172272,21.2496774
398,Gori,3.18,Okay,Okay,Affordable,Slow,Good,Good,Good,Bad,High,Very low,Bad,Okay,Okay,Bad,Okay,Okay,Unknown,Unknown,Good,Okay,Bad,Bad,Unknown,Georgia,Europe,"Gori, Georgia",41.9818469,44.1117811
399,Porterville,3.15,Good,Okay,Pricey,Super fast,Okay,Good,Good,Good,High,Very high,Great,Great,Okay,Good,Okay,Good,Unknown,Unknown,Good,Okay,Great,Okay,Good,United States,North America,"Porterville, United States",36.06523,-119.0167679
400,Pekanbaru,2.89,Okay,Bad,Cheap,Good,Okay,Good,Great,Good,Mediocre,Very low,Bad,Bad,Bad,Okay,Bad,Bad,Bad,Okay,Okay,Bad,Bad,Bad,Unknown,Indonesia,Asia,"Pekanbaru, Indonesia",0.5262455,101.4515727
401,Curitiba,3.23,Okay,Okay,Affordable,Good,Okay,Okay,Very bad,Good,Mediocre,Very low,Bad,Great,Bad,Good,Bad,Okay,Unknown,Good,Okay,Bad,Great,Bad,Great,Brazil,Latin America,"Curitiba, Brazil",-25.4295963,-49.2712724
402,Allahabad,3.0,Okay,Bad,Cheap,Fast,Bad,Good,Good,Okay,Low,Very low,Okay,Great,Bad,Bad,Bad,Bad,Okay,Okay,Okay,Bad,Bad,Okay,Unknown,India,Asia,"Allahabad, India",25.4381302,81.8338005
403,Espoo,3.25,Good,Good,Pricey,Fast,Good,Good,Good,Good,High,High,Good,Great,Okay,Great,Good,Good,Bad,Great,Great,Great,Great,Okay,Unknown,Finland,Europe,"Espoo, Finland",60.2047672,24.6568435
404,Clarksville,3.24,Good,Okay,Okay,Super fast,Okay,Good,Good,Good,High,Very high,Great,Bad,Okay,Good,Okay,Good,Unknown,Unknown,Good,Okay,Great,Okay,Okay,United States,North America,"Clarksville, United States",36.5277607,-87.3588703
405,Montevideo,3.21,Good,Okay,Affordable,Good,Okay,Okay,Okay,Good,Mediocre,Low,Bad,Great,Bad,Good,Bad,Great,Okay,Okay,Good,Good,Great,Bad,Great,Uruguay,Latin America,"Montevideo, Uruguay",-34.9058916,-56.1913095
406,Hobart,3.36,Good,Good,Pricey,Fast,Okay,Good,Great,Good,Very high,Very high,Great,Great,Okay,Great,Okay,Great,Great,Great,Good,Great,Great,Okay,Great,Australia,Oceania,"Hobart, Australia",-42.8825088,147.3281233
407,Owensboro,3.29,Good,Okay,Okay,Super fast,Okay,Great,Good,Okay,High,Very high,Great,Okay,Okay,Good,Okay,Good,Unknown,Unknown,Good,Okay,Great,Okay,Okay,United States,North America,"Owensboro, United States",37.7742152,-87.1133304
408,Fresno,3.23,Good,Good,Pricey,Super fast,Bad,Good,Good,Good,High,Very high,Great,Great,Okay,Good,Bad,Great,Good,Great,Good,Okay,Great,Okay,Great,United States,North America,"Fresno, United States",36.7394421,-119.7848307
409,Windsor,3.12,Good,Good,Pricey,Fast,Okay,Good,Good,Great,High,High,Great,Great,Okay,Great,Okay,Good,Good,Great,Great,Good,Great,Okay,Good,Canada,North America,"Windsor, Canada",42.317099,-83.0353434
410,Port Louis,3.18,Okay,Okay,Affordable,Slow,Good,Good,Good,Bad,Mediocre,Very low,Okay,Great,Okay,Okay,Okay,Good,Bad,Good,Good,Okay,Bad,Bad,Unknown,Mauritius,Africa,"Port Louis, Mauritius",-20.1624522,57.5028044
411,Sandpoint,3.22,Okay,Okay,Pricey,Fast,Okay,Good,Good,Great,High,Very high,Great,Great,Okay,Good,Okay,Good,Unknown,Unknown,Good,Good,Great,Okay,Okay,United States,North America,"Sandpoint, United States",48.2765903,-116.553247
412,Cork,3.22,Good,Good,Pricey,Fast,Good,Good,Great,Great,High,Very high,Great,Great,Okay,Good,Okay,Bad,Bad,Good,Great,Okay,Great,Okay,Okay,Ireland,Europe,"Cork, Ireland",51.897077,-8.4654674
413,Pune,3.11,Okay,Bad,Cheap,Fast,Okay,Great,Good,Bad,Low,Very low,Okay,Bad,Bad,Bad,Okay,Bad,Bad,Good,Okay,Okay,Bad,Okay,Okay,India,Asia,"Pune, India",18.521428,73.8544541
414,Merced,3.23,Good,Okay,Pricey,Super fast,Okay,Good,Good,Good,High,Very high,Great,Great,Okay,Good,Okay,Good,Unknown,Unknown,Good,Good,Great,Okay,Good,United States,North America,"Merced, United States",37.1641544,-120.7678602
415,Sa Pa,3.21,Okay,Bad,Cheap,Slow,Good,Good,Good,Bad,Low,Very low,Bad,Great,Bad,Bad,Bad,Good,Unknown,Unknown,Bad,Okay,Bad,Bad,Unknown,Vietnam,Asia,"Sa Pa, Vietnam",22.33164705,103.85753892309174
416,Pocatello,3.23,Good,Okay,Pricey,Fast,Okay,Good,Good,Great,High,Very high,Great,Great,Okay,Good,Okay,Good,Unknown,Unknown,Good,Good,Great,Okay,Good,United States,North America,"Pocatello, United States",42.8620287,-112.450627
417,Boise,3.24,Good,Good,Pricey,Fast,Bad,Good,Good,Good,High,Very high,Great,Great,Okay,Good,Bad,Good,Okay,Good,Good,Great,Great,Okay,Great,United States,North America,"Boise, United States",43.6166163,-116.200886
418,Delano,3.15,Good,Okay,Pricey,Fast,Okay,Good,Good,Good,High,Very high,Great,Great,Okay,Good,Okay,Good,Unknown,Unknown,Good,Good,Great,Okay,Okay,United States,North America,"Delano, United States",35.7688425,-119.2470536
419,Lubbock,3.25,Okay,Okay,Okay,Super fast,Okay,Good,Good,Good,High,Very high,Great,Great,Okay,Good,Okay,Good,Unknown,Unknown,Good,Good,Great,Okay,Good,United States,North America,"Lubbock, United States",33.5635206,-101.879336
420,North Little Rock,3.21,Okay,Okay,Okay,Fast,Okay,Okay,Good,Good,High,Very high,Great,Bad,Okay,Good,Okay,Good,Unknown,Unknown,Good,Bad,Great,Okay,Bad,United States,North America,"North Little Rock, United States",34.769536,-92.2670941
421,Natal,3.21,Okay,Okay,Cheap,Good,Good,Okay,Very bad,Good,Mediocre,Very low,Bad,Great,Bad,Good,Great,Good,Good,Good,Okay,Bad,Great,Bad,Okay,Brazil,Latin America,"Natal, Brazil",-5.805398,-35.2080905
422,Lancaster,3.21,Good,Okay,Pricey,Super fast,Okay,Good,Good,Good,High,Very high,Great,Great,Okay,Good,Okay,Good,Unknown,Unknown,Good,Good,Great,Okay,Great,United States,North America,"Lancaster, United States",40.03813,-76.3056686
423,Montreal,3.47,Good,Good,Too expensive,Fast,Good,Good,Good,Great,High,High,Good,Great,Okay,Great,Good,Good,Great,Good,Great,Great,Great,Okay,Great,Canada,North America,"Montreal, Canada",45.5031824,-73.5698065
